Municipio,Pop_Urbana,Pop_Rural,Pop_Total,Area,Tax_Urbanização,Dens_dem_hab_km2,Regiao,MRT
"Maraial ,""8559"",""3671"",""12230"",""196"",""69,98 "",""61,19"",MATA SUL,MRT III"
"Palmares ,""46886"",""12640"",""59526"",""337"",""78,77 "",""175,44"",MATA SUL,MRT III"
"Primavera ,""8579"",""4860"",""13439"",""110"",""63,84 "",""121,97"",MATA SUL,MRT III"
"Quipapá ,""11813"",""12373"",""24186"",""231"",""48,84 "",""104,88"",MATA SUL,MRT III"
"Ribeirão ,""34003"",""10436"",""44439"",""288"",""76,52 "",""154,36"",MATA SUL,MRT III"
"Rio Formoso ,""13373"",""8778"",""22151"",""240"",""60,37 "",""97,39"",MATA SUL,MRT III"
"São Benedito do Sul ,""7158"",""6783"",""13941"",""157"",""51,34 "",""86,87"",MATA SUL,MRT III"
"S. J. da C. Grande ,""13436"",""4744"",""18180"",""69"",""73,91 "",""262,19"",MATA SUL,MRT III"
"Sirinhaém ,""21484"",""18812"",""40296"",""379"",""53,32 "",""109,18"",MATA SUL,MRT III"
"Tamandaré ,""15170"",""5545"",""20715"",""190"",""73,23 "",""96,66"",MATA SUL,MRT III"
"Xexéu ,""9170"",""4923"",""14093"",""111"",""65,07 "",""127,18"",MATA SUL,MRT III"
"Agrestina ,""16957"",""5722"",""22679"",""197,2 "",""74,77 "",""112,58"",AGRESTE LESTE ,MRT IV"
"Altinho ,""12776"",""9577"",""22353"",""450,7 "",""57,16 "",""49,18"",AGRESTE LESTE ,MRT IV"
"Bezerros ,""49740"",""8928"",""58668"",""543,4 "",""84,78 "",""119,53"",AGRESTE LESTE ,MRT IV"
"Bom Jardim ,""15195"",""22631"",""37826"",""207,4 "",""40,17 "",""173,17"",AGRESTE LESTE ,MRT IV"
"Caruaru ,""279589"",""35323"",""314912"",""928,1 "",""88,78 "",""342,07"",AGRESTE LESTE ,MRT IV"
"Casinhas ,""1704"",""12062"",""13766"",""108,7 "",""12,38 "",""118,81"",AGRESTE LESTE ,MRT IV"
"Chã Grande ,""13692"",""6445"",""20137"",""70,0 "",""67,99 "",""237,33"",AGRESTE LESTE ,MRT IV"
"Cumaru ,""8039"",""9144"",""17183"",""277,3 "",""46,78 "",""58,80"",AGRESTE LESTE ,MRT IV"
"Feira Nova ,""16313"",""4258"",""20571"",""118,3 "",""79,30 "",""190,96"",AGRESTE LESTE ,MRT IV"
"Frei Miguelinho ,""3389"",""10904"",""14293"",""214,9 "",""23,71 "",""67,20"",AGRESTE LESTE ,MRT IV"
"Gravatá ,""68385"",""8073"",""76458"",""489,5 "",""89,44 "",""151,36"",AGRESTE LESTE ,MRT IV"
"João Alfredo ,""15020"",""15723"",""30743"",""149,4 "",""48,86 "",""222,34"",AGRESTE LESTE ,MRT IV"
"Limoeiro ,""44560"",""10879"",""55439"",""276,3 "",""80,38 "",""202,53"",AGRESTE LESTE ,MRT IV"
"Orobó ,""8233"",""14645"",""22878"",""125,7 "",""35,99 "",""164,99"",AGRESTE LESTE ,MRT IV"
"Passira ,""13945"",""14683"",""28628"",""363,3 "",""48,71 "",""87,61"",AGRESTE LESTE ,MRT IV"
"Riacho das Almas ,""8762"",""10400"",""19162"",""312,6 "",""45,73 "",""61,03"",AGRESTE LESTE ,MRT IV"
"Salgadinho ,""3062"",""6250"",""9312"",""71,6 "",""32,88 "",""104,84"",AGRESTE LESTE ,MRT IV"
"S. M. do Cambucá ,""3275"",""9746"",""13021"",""94,1 "",""25,15 "",""141,31"",AGRESTE LESTE ,MRT IV"
"Surubim ,""44036"",""14479"",""58515"",""253,8 "",""75,26 "",""231,42"",AGRESTE LESTE ,MRT IV"
"Toritama ,""34125"",""1429"",""35554"",""34,6 "",""95,98 "",""1.383,21"",AGRESTE LESTE ,MRT IV"
"Vertente do Lério ,""1813"",""6060"",""7873"",""80,8 "",""23,03 "",""106,93"",AGRESTE LESTE ,MRT IV"
"Águas Belas ,""24564"",""15671"",""40235"",""883,9 "",""61,05 "",""45,41"",AGRESTE OESTE,MRT V"
"Alagoinha ,""7769"",""5990"",""13759"",""179,3 "",""56,46 "",""63,16"",AGRESTE OESTE,MRT V"
"Angelim ,""6087"",""4115"",""10202"",""126,2 "",""59,66 "",""86,43"",AGRESTE OESTE,MRT V"
"Arcoverde ,""62668"",""6125"",""68793"",""379,0 "",""91,10 "",""196,05"",AGRESTE OESTE,MRT V"
"Belo Jardim ,""58233"",""14199"",""72432"",""650,9 "",""80,40 "",""111,83"",AGRESTE OESTE,MRT V"
"B. da M. de Deus ,""35124"",""10056"",""45180"",""779,3 "",""77,74 "",""59,26"",AGRESTE OESTE,MRT V"
"Buíque ,""21195"",""30910"",""52105"",""1.273,6 "",""40,68 "",""38,66"",AGRESTE OESTE,MRT V"
"Cachoeirinha ,""15205"",""3614"",""18819"",""182,5 "",""80,80 "",""104,98"",AGRESTE OESTE,MRT V"
"Caetés ,""7520"",""19057"",""26577"",""322,9 "",""28,30 "",""80,66"",AGRESTE OESTE,MRT V"
"Calçado ,""3810"",""7315"",""11125"",""55,7 "",""34,25 "",""91,23"",AGRESTE OESTE,MRT V"
"Canhotinho ,""14106"",""10415"",""24521"",""421,2 "",""57,53 "",""57,96"",AGRESTE OESTE,MRT V"
"Capoeiras ,""6263"",""13330"",""19593"",""342,9 "",""31,97 "",""58,26"",AGRESTE OESTE,MRT V"
"Cupira ,""20787"",""2603"",""23390"",""103,8 "",""88,87 "",""221,58"",AGRESTE OESTE,MRT V"
"Iati ,""7718"",""10642"",""18360"",""565,2 "",""42,04 "",""28,91"",AGRESTE OESTE,MRT V"
"Ibirajuba ,""3140"",""4394"",""7534"",""217,1 "",""41,68 "",""39,74"",AGRESTE OESTE,MRT V"
"Itaíba ,""9688"",""16568"",""26256"",""1.068,7 "",""36,90 "",""24,23"",AGRESTE OESTE,MRT V"
"Jataúba ,""9184"",""6635"",""15819"",""712,7 "",""58,06 "",""23,53"",AGRESTE OESTE,MRT V"
"Jucati ,""2828"",""7776"",""10604"",""108,9 "",""26,67 "",""87,92"",AGRESTE OESTE,MRT V"
"Jupi ,""8356"",""5349"",""13705"",""150,6 "",""60,97 "",""130,54"",AGRESTE OESTE,MRT V"
"Jurema ,""8753"",""5788"",""14541"",""146,4 "",""60,20 "",""98,08"",AGRESTE OESTE,MRT V"
"Lagoa dos Gatos ,""8641"",""6974"",""15615"",""188,4 "",""55,34 "",""70,06"",AGRESTE OESTE,MRT V"
"Lajedo ,""26395"",""10233"",""36628"",""208,0 "",""72,06 "",""193,70"",AGRESTE OESTE,MRT V"
"Manari ,""3818"",""14265"",""18083"",""548,3 "",""21,11 "",""47,43"",AGRESTE OESTE,MRT V"
"Palmeirina ,""5178"",""3011"",""8189"",""199,6 "",""63,23 "",""51,82"",AGRESTE OESTE,MRT V"
"Panelas ,""13964"",""11681"",""25645"",""368,1 "",""54,45 "",""69,14"",AGRESTE OESTE,MRT V"
"Paranatama ,""2241"",""8760"",""11001"",""271,6 "",""20,37 "",""47,65"",AGRESTE OESTE,MRT V"
"Pedra ,""11998"",""8946"",""20944"",""848,8 "",""57,29 "",""26,08"",AGRESTE OESTE,MRT V"
"Pesqueira ,""45126"",""17805"",""62931"",""1.031,6 "",""71,71 "",""63,21"",AGRESTE OESTE,MRT V"
"Poção ,""6988"",""4254"",""11242"",""211,2 "",""62,16 "",""45,56"",AGRESTE OESTE,MRT V"
"Saloá ,""7668"",""7641"",""15309"",""295,8 "",""50,09 "",""60,73"",AGRESTE OESTE,MRT V"
"Sanharó ,""12500"",""9455"",""21955"",""246,5 "",""56,93 "",""81,71"",AGRESTE OESTE,MRT V"
"São B. do Una ,""27899"",""25343"",""53242"",""712,9 "",""52,40 "",""74,03"",AGRESTE OESTE,MRT V"
